Hand Number,Date/Time,Range File,Feedback,Position,Position Percentage,Min Opening Hand Type,Hole Cards,Hand Type,Hand Ranking Percentage,Your Decision,Correct Decision,Score
1,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Low Jack,16.67,55,7d 2c ,72o,71.95,open,fold,0
2,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Low Jack,16.67,55,7c 4h ,74o,70.14,open,fold,0
3,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Cut Off,25.00,K4s,3d 2h ,32o,97.89,open,fold,0
4,05-07-17 14:27:49,Starting Hands EV Range.txt,Correct,High Jack,20.00,QTo,Ah 8h ,A8s,10.86,open,open,1
5,05-07-17 14:27:49,Starting Hands EV Range.txt,Correct,Cut Off,25.00,K4s,As 9h ,A9o,22.47,open,open,2
6,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,7 Off Button,11.11,K9s,Tc 8d ,T8o,34.54,open,fold,2
7,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,5 Off Button,14.29,A4s,Ks 6s ,K6s,24.28,open,fold,2
8,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,7 Off Button,11.11,K9s,4d 3h ,43o,92.16,open,fold,2
9,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,7 Off Button,11.11,K9s,6c 5d ,65o,72.85,open,fold,2
10,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Cut Off,25.00,K4s,Ts 5h ,T5o,57.77,open,fold,2
11,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,6 Off Button,12.50,A5s,9c 3s ,93o,64.71,open,fold,2
12,05-07-17 14:27:49,Starting Hands EV Range.txt,Correct,5 Off Button,14.29,A4s,Ac Jd ,AJo,8.30,open,open,3
13,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,7 Off Button,11.11,K9s,9d 8c ,98o,39.37,open,fold,3
14,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Low Jack,16.67,55,5s 4d ,54o,91.25,open,fold,3
15,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,5 Off Button,14.29,A4s,9h 8c ,98o,39.37,open,fold,3
16,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,6 Off Button,12.50,A5s,6h 2d ,62o,75.57,open,fold,3
17,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Button,33.33,Q5s,Ah 6c ,A6o,51.13,open,fold,3
18,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,5 Off Button,14.29,A4s,Jd 6d ,J6s,43.59,open,fold,3
19,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,6 Off Button,12.50,A5s,Ac 5c ,A5s,12.67,open,fold,3
20,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,5 Off Button,14.29,A4s,5s 2s ,52s,96.68,open,fold,3
21,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Low Jack,16.67,55,Td 2c ,T2o,60.78,open,fold,3
22,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,High Jack,20.00,QTo,5s 3h ,53o,76.47,open,fold,3
23,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,High Jack,20.00,QTo,8d 5d ,85s,47.51,open,fold,3
24,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,High Jack,20.00,QTo,7h 6h ,76s,23.98,open,fold,3
25,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Cut Off,25.00,K4s,6s 2h ,62o,75.57,open,fold,3
26,05-07-17 14:27:49,Starting Hands EV Range.txt,Correct,Cut Off,25.00,K4s,Kh 9h ,K9s,11.16,open,open,4
27,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,5 Off Button,14.29,A4s,5d 4d ,54s,32.88,open,fold,4
28,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Button,33.33,Q5s,Ks 5c ,K5o,80.09,open,fold,4
29,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Button,33.33,Q5s,Qd 2h ,Q2o,85.52,open,fold,4
30,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,6 Off Button,12.50,A5s,Ks 2h ,K2o,94.27,open,fold,4
31,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Low Jack,16.67,55,5h 3s ,53o,76.47,open,fold,4
32,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,High Jack,20.00,QTo,9s 7h ,97o,40.27,open,fold,4
33,05-07-17 14:27:49,Starting Hands EV Range.txt,Correct,5 Off Button,14.29,A4s,Kh Kd ,KK,0.90,open,open,5
34,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Cut Off,25.00,K4s,6d 5s ,65o,72.85,open,fold,5
35,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,6 Off Button,12.50,A5s,Jh 4c ,J4o,87.33,open,fold,5
36,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Button,33.33,Q5s,Td 6h ,T6o,45.10,open,fold,5
37,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Button,33.33,Q5s,Ts 4s ,T4s,89.74,open,fold,5
38,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,6 Off Button,12.50,A5s,Qc 2c ,Q2s,55.05,open,fold,5
39,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,7 Off Button,11.11,K9s,Qh 3d ,Q3o,84.62,open,fold,5
40,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,6 Off Button,12.50,A5s,Ks 5d ,K5o,80.09,open,fold,5
41,05-07-17 14:27:49,Starting Hands EV Range.txt,Correct,Low Jack,16.67,55,Ah Kh ,AKs,2.11,open,open,6
42,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,High Jack,20.00,QTo,8c 7c ,87s,21.12,open,fold,6
43,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,5 Off Button,14.29,A4s,Td 5s ,T5o,57.77,open,fold,6
44,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,7 Off Button,11.11,K9s,Jh 3s ,J3o,88.24,open,fold,6
45,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,5 Off Button,14.29,A4s,Tc 8d ,T8o,34.54,open,fold,6
46,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,High Jack,20.00,QTo,2s 2h ,22,33.33,open,fold,6
47,05-07-17 14:27:49,Starting Hands EV Range.txt,Correct,Button,33.33,Q5s,6d 6s ,66,13.12,open,open,7
48,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,5 Off Button,14.29,A4s,Jh 6s ,J6o,56.86,open,fold,7
49,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,High Jack,20.00,QTo,Ac 4h ,A4o,52.94,open,fold,7
50,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Low Jack,16.67,55,5s 4s ,54s,32.88,open,fold,7
51,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Low Jack,16.67,55,8h 4c ,84o,67.42,open,fold,7
52,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,6 Off Button,12.50,A5s,Qs 8s ,Q8s,20.81,open,fold,7
53,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,6 Off Button,12.50,A5s,Jd 5s ,J5o,86.43,open,fold,7
54,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,High Jack,20.00,QTo,Ts 7h ,T7o,38.46,open,fold,7
55,05-07-17 14:27:49,Starting Hands EV Range.txt,Correct,Cut Off,25.00,K4s,Ad 9h ,A9o,22.47,open,open,8
56,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Button,33.33,Q5s,7c 2c ,72s,99.70,open,fold,8
57,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Low Jack,16.67,55,Js 8s ,J8s,23.68,open,fold,8
58,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Low Jack,16.67,55,7d 2s ,72o,71.95,open,fold,8
59,05-07-17 14:27:49,Starting Hands EV Range.txt,Correct,Cut Off,25.00,K4s,Ac Ts ,ATo,12.07,open,open,9
60,05-07-17 14:27:49,Starting Hands EV Range.txt,Correct,5 Off Button,14.29,A4s,Ad Jc ,AJo,8.30,open,open,10
61,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,5 Off Button,14.29,A4s,Js 3c ,J3o,88.24,open,fold,10
62,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,High Jack,20.00,QTo,Tc 4d ,T4o,58.97,open,fold,10
63,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Button,33.33,Q5s,9s 3c ,93o,64.71,open,fold,10
64,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Low Jack,16.67,55,As 4c ,A4o,52.94,open,fold,10
65,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,High Jack,20.00,QTo,7d 5d ,75s,35.14,open,fold,10
66,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Low Jack,16.67,55,Qh 5s ,Q5o,82.81,open,fold,10
67,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Button,33.33,Q5s,Ks 6h ,K6o,53.85,open,fold,10
68,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,Cut Off,25.00,K4s,6d 5d ,65s,28.96,open,fold,10
69,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,High Jack,20.00,QTo,Jh 5h ,J5s,43.89,open,fold,10
70,05-07-17 14:27:49,Starting Hands EV Range.txt,Incorrect,6 Off Button,12.50,A5s,Qd 7h ,Q7o,54.75,open,fold,10
